date,country_id,product,txn_amount_local,fee_bps,cost_bps,topup_fee_fixed,channel
2024-01-26,ARG,Card,337.35,94,28,0,App
2024-01-01,ARG,TopUp,27.49,0,0,1,App
2024-01-03,ARG,P2P,359.33,26,5,0,App
2024-01-01,ARG,Card,614.55,128,21,0,App
2024-01-08,ARG,Card,380.85,115,20,0,App
2024-01-20,ARG,Card,765.19,99,24,0,App
2024-01-19,ARG,P2P,471.69,12,8,0,Web
2024-01-04,ARG,Card,1321.86,89,32,0,App
2024-01-12,ARG,TopUp,35.73,0,0,1,QR
2024-01-23,ARG,P2P,968.47,13,13,0,App
2024-01-10,ARG,Loan,39198.36,697,132,0,App
2024-01-28,ARG,QR,408.38,80,17,0,App
2024-01-10,ARG,Card,1096.25,129,32,0,App
2024-01-22,ARG,Card,619.56,86,21,0,Web
2024-01-22,ARG,Card,969.87,116,27,0,App
2024-01-04,ARG,TopUp,41.6,0,0,2,App
2024-01-11,ARG,P2P,622.76,24,14,0,App
2024-01-15,ARG,Card,1430.79,123,21,0,App
2024-01-14,ARG,TopUp,13.89,0,0,1,App
2024-01-23,ARG,Card,502.9,124,39,0,App
2024-01-15,ARG,P2P,107.39,10,14,0,App
2024-01-09,ARG,QR,199.11,82,15,0,App
2024-01-27,ARG,Card,1957.18,87,35,0,App
2024-01-18,ARG,P2P,921.39,13,12,0,QR
2024-01-15,ARG,TopUp,38.3,0,0,2,App
2024-01-21,ARG,Loan,79310.65,853,88,0,App
2024-01-19,ARG,P2P,926.84,30,6,0,Web
2024-01-17,ARG,Card,1893.02,85,26,0,App
2024-01-15,ARG,Card,1540.68,135,36,0,App
2024-01-23,ARG,QR,324.16,42,20,0,App
2024-01-21,ARG,QR,90.97,60,15,0,App
2024-01-08,ARG,TopUp,25.02,0,0,2,App
2024-01-09,ARG,P2P,317.82,27,6,0,App
2024-01-25,ARG,QR,431.11,48,28,0,QR
2024-01-23,ARG,P2P,669.66,15,10,0,App
2024-01-26,ARG,Card,1811.66,142,40,0,Web
2024-01-10,ARG,TopUp,20.17,0,0,2,Referral
2024-01-03,ARG,QR,444.44,80,27,0,App
2024-01-20,ARG,Card,977.2,94,24,0,App
2024-01-10,ARG,Card,736.42,114,36,0,App
2024-01-03,ARG,Card,277.71,138,36,0,App
2024-01-18,ARG,Card,468.6,100,36,0,Web
2024-01-01,ARG,Card,904.22,97,30,0,App
2024-01-12,ARG,Card,901.01,125,39,0,QR
2024-01-27,ARG,Card,1491.75,134,30,0,App
2024-01-17,ARG,P2P,333.61,24,8,0,QR
2024-01-08,ARG,QR,340.34,40,27,0,QR
2024-01-12,ARG,Card,1688.5,101,26,0,App
2024-01-04,ARG,Card,1538.62,90,33,0,QR
2024-01-03,ARG,Loan,64955.5,762,97,0,App
2024-01-24,ARG,Card,1699.29,98,40,0,App
2024-01-27,ARG,Card,1744.21,104,27,0,App
2024-01-15,ARG,P2P,421.0,29,8,0,App
2024-01-14,ARG,Card,347.98,137,34,0,App
2024-01-06,ARG,Card,1247.79,98,31,0,App
2024-01-14,ARG,Loan,34732.21,558,83,0,App
2024-01-21,ARG,P2P,493.48,14,5,0,App
2024-01-04,ARG,TopUp,43.59,0,0,1,App
2024-01-20,ARG,QR,176.55,81,21,0,Web
2024-01-13,ARG,QR,228.64,73,20,0,Web
2024-01-06,ARG,Card,1860.21,142,35,0,App
2024-01-05,ARG,Card,1919.5,84,32,0,App
2024-01-21,ARG,Card,326.75,133,31,0,App
2024-01-08,ARG,Card,639.74,96,26,0,App
2024-01-22,ARG,Card,1816.56,143,20,0,App
2024-01-28,ARG,Card,765.13,124,30,0,App
2024-01-03,ARG,Card,738.44,119,27,0,App
2024-01-04,ARG,Card,1235.65,130,29,0,QR
2024-01-04,ARG,TopUp,16.42,0,0,2,App
2024-01-01,ARG,Card,1039.78,88,31,0,App
2024-01-15,ARG,Card,1372.97,113,29,0,App
2024-01-28,ARG,QR,161.95,45,30,0,Referral
2024-01-08,ARG,P2P,528.9,15,6,0,App
2024-01-17,ARG,Card,1349.94,129,30,0,App
2024-01-26,ARG,Card,1290.5,137,20,0,App
2024-01-11,ARG,QR,159.08,68,18,0,App
2024-01-15,ARG,Card,863.13,117,27,0,POS
2024-01-16,ARG,P2P,789.91,12,7,0,App
2024-01-08,ARG,P2P,198.78,15,9,0,App
2024-01-06,ARG,P2P,159.6,21,6,0,POS
2024-01-13,ARG,QR,226.67,88,16,0,App
2024-01-26,ARG,Card,1215.21,95,33,0,App
2024-01-07,ARG,Card,479.35,111,28,0,Web
2024-01-17,ARG,P2P,924.47,13,15,0,Web
2024-01-26,ARG,Card,395.4,108,24,0,App
2024-01-08,ARG,QR,310.37,56,16,0,API
2024-01-17,ARG,QR,181.47,85,23,0,Web
2024-01-06,ARG,QR,50.08,42,18,0,Web
2024-01-02,ARG,Card,1144.55,101,31,0,App
2024-01-15,ARG,Card,1343.86,126,34,0,App
2024-01-11,ARG,Card,1512.13,111,29,0,App
2024-01-18,ARG,Card,303.88,128,32,0,App
2024-01-17,ARG,Loan,99315.45,792,132,0,App
2024-01-22,ARG,QR,307.91,89,27,0,API
2024-01-19,ARG,Loan,26854.03,924,148,0,App
2024-01-22,ARG,Card,1782.53,145,33,0,App
2024-01-27,ARG,Card,1597.41,140,28,0,App
2024-01-26,ARG,TopUp,41.46,0,0,1,QR
2024-01-26,ARG,QR,109.36,87,30,0,App
2024-01-17,ARG,TopUp,44.01,0,0,2,Web
2024-01-21,ARG,Card,1665.08,129,27,0,App
2024-01-25,ARG,QR,182.77,53,28,0,Web
2024-01-25,ARG,QR,379.8,86,22,0,App
2024-01-09,ARG,Card,1001.46,88,33,0,Web
2024-01-06,ARG,Card,1582.63,104,31,0,Web
2024-01-26,ARG,Loan,45777.94,942,99,0,App
2024-01-08,ARG,P2P,805.83,19,7,0,QR
2024-01-13,ARG,TopUp,15.94,0,0,1,App
2024-01-15,ARG,Card,588.74,112,32,0,App
2024-01-21,ARG,QR,378.4,65,17,0,Web
2024-01-10,ARG,Card,287.23,83,33,0,Web
2024-01-22,ARG,Loan,55782.03,776,147,0,App
2024-01-17,ARG,Card,554.25,119,31,0,App
2024-01-02,ARG,Card,738.69,121,21,0,App
2024-01-07,ARG,Loan,78801.83,881,128,0,App
2024-01-18,ARG,P2P,677.27,23,6,0,QR
2024-01-02,ARG,P2P,298.6,29,13,0,QR
2024-01-01,ARG,QR,452.17,78,15,0,App
2024-01-06,ARG,Card,1050.1,87,24,0,App
2024-01-08,ARG,Card,1889.2,85,20,0,App
2024-01-07,ARG,Card,292.68,86,27,0,App
2024-01-12,ARG,Card,1371.46,95,33,0,QR
2024-01-21,ARG,Card,684.93,127,34,0,App
2024-01-06,ARG,P2P,923.05,17,5,0,QR
2024-01-02,ARG,P2P,663.77,19,7,0,QR
2024-01-21,ARG,P2P,448.03,27,11,0,App
2024-01-22,ARG,P2P,506.18,21,10,0,App
2024-01-26,ARG,P2P,659.82,19,8,0,App
2024-01-05,ARG,Card,1626.54,125,30,0,Web
2024-01-02,ARG,Card,1810.18,128,38,0,App
2024-01-17,ARG,TopUp,18.89,0,0,2,App
2024-01-25,ARG,Card,1349.54,107,30,0,App
2024-01-01,ARG,P2P,423.04,12,11,0,Web
2024-01-23,ARG,Card,1352.41,82,25,0,App
2024-01-24,ARG,Card,882.12,141,26,0,App
2024-01-06,ARG,QR,103.76,51,29,0,App
2024-01-23,ARG,P2P,903.25,27,9,0,Web
2024-01-21,ARG,QR,63.32,90,25,0,App
2024-01-05,ARG,TopUp,43.95,0,0,1,App
2024-01-21,ARG,P2P,997.65,28,15,0,App
2024-01-20,ARG,P2P,386.01,11,15,0,App
2024-01-26,ARG,P2P,667.74,27,5,0,QR
2024-01-04,ARG,TopUp,48.84,0,0,1,QR
2024-01-10,ARG,QR,409.22,41,20,0,App
2024-01-16,ARG,P2P,522.58,21,6,0,QR
2024-01-25,ARG,QR,308.64,50,30,0,App
2024-01-25,ARG,Card,693.69,87,34,0,App
2024-01-10,ARG,Card,1428.99,150,25,0,App
2024-01-17,ARG,Card,994.74,142,38,0,App
2024-01-02,ARG,QR,286.42,56,26,0,QR
2024-01-27,ARG,Card,242.08,147,21,0,Web
2024-01-01,ARG,TopUp,42.78,0,0,2,App
2024-01-26,ARG,QR,245.38,61,20,0,POS
2024-01-06,ARG,Card,963.14,129,21,0,POS
2024-01-19,ARG,Card,1161.17,84,20,0,App
2024-01-27,ARG,Loan,73303.9,573,117,0,Web
2024-01-28,ARG,Card,1825.17,117,36,0,App
2024-01-13,ARG,P2P,109.99,13,8,0,App
2024-01-17,ARG,Card,433.03,119,32,0,App
2024-01-22,ARG,TopUp,34.26,0,0,2,App
2024-01-20,ARG,P2P,408.78,23,10,0,App
2024-01-08,ARG,Card,1166.31,90,24,0,App
2024-01-26,ARG,TopUp,17.66,0,0,1,App
2024-01-23,ARG,Card,1737.11,96,31,0,API
2024-01-06,ARG,QR,352.66,70,18,0,POS
2024-01-23,ARG,Card,943.9,118,23,0,App
2024-01-11,ARG,Card,239.26,134,30,0,Web
2024-01-10,ARG,Card,1440.34,138,33,0,App
2024-01-09,ARG,P2P,634.41,27,5,0,QR
2024-01-12,ARG,QR,143.31,58,18,0,App
2024-01-14,ARG,Card,1393.74,120,28,0,QR
2024-01-06,ARG,P2P,339.35,29,15,0,Web
2024-01-03,ARG,Card,952.02,118,37,0,App
2024-01-25,ARG,TopUp,43.77,0,0,2,App
2024-01-19,ARG,Card,1743.41,84,20,0,QR
2024-01-04,ARG,TopUp,11.96,0,0,1,Web
2024-01-18,ARG,Card,1805.8,107,29,0,QR
2024-01-14,ARG,Card,1888.75,105,25,0,QR
2024-01-19,ARG,P2P,647.16,19,7,0,App
2024-01-09,ARG,P2P,147.79,22,6,0,QR
2024-01-26,ARG,Card,332.27,98,26,0,App
2024-01-09,ARG,P2P,874.47,17,7,0,App
2024-01-17,ARG,Card,929.47,132,34,0,App
2024-01-27,ARG,Card,1702.65,133,35,0,App
2024-01-04,ARG,Card,1757.51,123,33,0,App
2024-01-14,ARG,QR,457.74,79,18,0,App
2024-01-28,ARG,P2P,748.86,17,7,0,App
2024-01-03,ARG,Card,241.52,136,20,0,App
2024-01-07,ARG,Card,506.15,138,20,0,App
2024-01-10,ARG,TopUp,5.31,0,0,1,App
2024-01-24,ARG,Card,736.69,104,31,0,App
2024-01-02,ARG,QR,300.46,87,23,0,App
2024-01-18,ARG,QR,154.69,50,17,0,App
2024-01-25,ARG,P2P,918.13,30,13,0,Web
